"id"	"sex"	"degree"	"income"	"marital"	"age"	"height"	"weight"	"hrswrk"
"1"	1	"MALE"	"BACHELOR"	60967.5	"DIVORCED"	53	72	190	60
"2"	2	"FEMALE"	"BACHELOR"	60967.5	"MARRIED"	26	60	97	40
"3"	4	"FEMALE"	"BACHELOR"	10161.25	"MARRIED"	56	68	160	20
"4"	14	"FEMALE"	"HIGH SCHOOL"	17551.25	"MARRIED"	40	65	156	37
"5"	16	"MALE"	"HIGH SCHOOL"	17551.25	"MARRIED"	56	66	210	6
"6"	19	"MALE"	"LT HIGH SCHOOL"	15703.75	"MARRIED"	51	68	170	50
"7"	21	"FEMALE"	"HIGH SCHOOL"	17551.25	"DIVORCED"	30	62	115	38
"8"	27	"MALE"	"HIGH SCHOOL"	17551.25	"SEPARATED"	35	70	180	40
"9"	28	"MALE"	"BACHELOR"	73900	"MARRIED"	57	71	225	40
"10"	30	"MALE"	"BACHELOR"	33255	"DIVORCED"	54	71	165	40
"11"	32	"FEMALE"	"BACHELOR"	33255	"DIVORCED"	61	64	128	40
"12"	38	"MALE"	"HIGH SCHOOL"	33255	"DIVORCED"	31	67	150	39
"13"	40	"MALE"	"BACHELOR"	73900	"MARRIED"	35	69	200	50
"14"	44	"MALE"	"HIGH SCHOOL"	24017.5	"NEVER MARRIED"	26	76	165	45
"15"	45	"FEMALE"	"BACHELOR"	88680	"SEPARATED"	50	67	188	60
"16"	46	"FEMALE"	"HIGH SCHOOL"	33255	"NEVER MARRIED"	43	68	150	40
"17"	47	"MALE"	"JUNIOR COLLEGE"	40645	"NEVER MARRIED"	30	72	185	45
"18"	48	"MALE"	"HIGH SCHOOL"	49882.5	"MARRIED"	59	70	175	40
"19"	49	"FEMALE"	"GRADUATE"	88680	"MARRIED"	32	66	160	40
"20"	50	"MALE"	"HIGH SCHOOL"	24017.5	"MARRIED"	32	66	170	40
"21"	51	"FEMALE"	"GRADUATE"	33255	"MARRIED"	52	63	143	40
"22"	52	"MALE"	"BACHELOR"	40645	"MARRIED"	42	68	230	40
"23"	53	"MALE"	"JUNIOR COLLEGE"	40645	"MARRIED"	29	73	245	60
"24"	56	"FEMALE"	"BACHELOR"	1478	"NEVER MARRIED"	24	65	118	16
"25"	59	"FEMALE"	"BACHELOR"	73900	"NEVER MARRIED"	56	66	148	30
"26"	61	"MALE"	"GRADUATE"	15703.75	"NEVER MARRIED"	51	70	190	14
"27"	64	"FEMALE"	"GRADUATE"	60967.5	"NEVER MARRIED"	47	64	123	40
"28"	68	"MALE"	"GRADUATE"	158656.952	"DIVORCED"	57	71	180	70
"29"	70	"MALE"	"HIGH SCHOOL"	15703.75	"NEVER MARRIED"	32	67	165	40
"30"	75	"FEMALE"	"GRADUATE"	88680	"MARRIED"	39	69	210	60
"31"	77	"MALE"	"BACHELOR"	103460	"MARRIED"	54	70	200	60
"32"	81	"MALE"	"LT HIGH SCHOOL"	6651	"MARRIED"	51	72	197	45
"33"	89	"MALE"	"HIGH SCHOOL"	40645	"NEVER MARRIED"	25	74	215	65
"34"	90	"FEMALE"	"JUNIOR COLLEGE"	40645	"NEVER MARRIED"	48	70	154	35
"35"	91	"MALE"	"JUNIOR COLLEGE"	88680	"NEVER MARRIED"	45	70	150	45
"36"	94	"FEMALE"	"LT HIGH SCHOOL"	12008.75	"NEVER MARRIED"	24	65	190	15
"37"	101	"FEMALE"	"HIGH SCHOOL"	73900	"NEVER MARRIED"	43	68	185	56
"38"	102	"MALE"	"GRADUATE"	49882.5	"NEVER MARRIED"	32	75	180	55
"39"	106	"MALE"	"BACHELOR"	33255	"MARRIED"	41	65	170	50
"40"	109	"MALE"	"GRADUATE"	88680	"MARRIED"	42	69	175	40
"41"	113	"FEMALE"	"HIGH SCHOOL"	20322.5	"MARRIED"	29	69	180	50
"42"	114	"MALE"	"HIGH SCHOOL"	15703.75	"NEVER MARRIED"	28	72	220	50
"43"	116	"FEMALE"	"GRADUATE"	40645	"NEVER MARRIED"	35	67	150	50
"44"	118	"MALE"	"BACHELOR"	27712.5	"NEVER MARRIED"	30	68	170	40
"45"	120	"FEMALE"	"BACHELOR"	20322.5	"NEVER MARRIED"	58	62	110	40
"46"	123	"FEMALE"	"BACHELOR"	17551.25	"NEVER MARRIED"	56	66	165	30
"47"	125	"MALE"	"HIGH SCHOOL"	49882.5	"NEVER MARRIED"	32	69	160	40
"48"	128	"MALE"	"GRADUATE"	158656.952	"MARRIED"	38	68	160	60
"49"	131	"MALE"	"HIGH SCHOOL"	17551.25	"SEPARATED"	47	73	156	37
"50"	132	"MALE"	"BACHELOR"	88680	"MARRIED"	53	74	182	40
"51"	137	"MALE"	"GRADUATE"	158656.952	"MARRIED"	61	78	255	30
"52"	140	"FEMALE"	"BACHELOR"	60967.5	"MARRIED"	57	65	134	40
"53"	141	"FEMALE"	"HIGH SCHOOL"	10161.25	"NEVER MARRIED"	29	70	250	37
"54"	143	"MALE"	"HIGH SCHOOL"	15703.75	"NEVER MARRIED"	21	67	135	40
"55"	147	"MALE"	"HIGH SCHOOL"	6651	"SEPARATED"	37	72	200	89
"56"	149	"FEMALE"	"BACHELOR"	40645	"NEVER MARRIED"	37	66	319	36
"57"	151	"FEMALE"	"BACHELOR"	10161.25	"DIVORCED"	74	62	137	24
"58"	153	"MALE"	"HIGH SCHOOL"	20322.5	"MARRIED"	54	69	186	60
"59"	154	"MALE"	"HIGH SCHOOL"	4803.5	"NEVER MARRIED"	23	72	180	40
"60"	155	"FEMALE"	"LT HIGH SCHOOL"	3325.5	"MARRIED"	25	60	92	30
"61"	157	"MALE"	"JUNIOR COLLEGE"	73900	"MARRIED"	48	72	205	60
"62"	161	"MALE"	"LT HIGH SCHOOL"	24017.5	"MARRIED"	54	70	190	60
"63"	164	"MALE"	"HIGH SCHOOL"	24017.5	"NEVER MARRIED"	23	68	200	48
"64"	165	"FEMALE"	"HIGH SCHOOL"	49882.5	"DIVORCED"	63	64	120	40
"65"	171	"FEMALE"	"BACHELOR"	369.5	"DIVORCED"	59	70	160	1
"66"	172	"FEMALE"	"GRADUATE"	60967.5	"NEVER MARRIED"	45	64	190	40
"67"	173	"MALE"	"JUNIOR COLLEGE"	27712.5	"MARRIED"	55	70	193	50
"68"	178	"FEMALE"	"HIGH SCHOOL"	2586.5	"NEVER MARRIED"	20	64	147	31
"69"	179	"MALE"	"GRADUATE"	24017.5	"SEPARATED"	63	75	250	20
"70"	180	"FEMALE"	"GRADUATE"	8313.75	"DIVORCED"	71	62	102	40
"71"	181	"MALE"	"HIGH SCHOOL"	40645	"NEVER MARRIED"	37	70	235	60
"72"	184	"MALE"	"HIGH SCHOOL"	2586.5	"NEVER MARRIED"	46	70	210	48
"73"	186	"FEMALE"	"HIGH SCHOOL"	20322.5	"DIVORCED"	45	66	130	35
"74"	187	"MALE"	"HIGH SCHOOL"	33255	"DIVORCED"	62	62	162	40
"75"	190	"MALE"	"HIGH SCHOOL"	33255	"NEVER MARRIED"	31	74	239	40
"76"	191	"MALE"	"BACHELOR"	49882.5	"NEVER MARRIED"	37	73	218	40
